Review_ID,Rating,Year_Month,Reviewer_Location,Branch,Year,Month
670772142,4,2019-4,Australia,Disneyland_HongKong,2019,4
670682799,4,2019-5,Philippines,Disneyland_HongKong,2019,5
670623270,4,2019-4,United Arab Emirates,Disneyland_HongKong,2019,4
670607911,4,2019-4,Australia,Disneyland_HongKong,2019,4
670607296,4,2019-4,United Kingdom,Disneyland_HongKong,2019,4
670591897,3,2019-4,Singapore,Disneyland_HongKong,2019,4
670585330,5,2019-4,India,Disneyland_HongKong,2019,4
670574142,3,2019-3,Malaysia,Disneyland_HongKong,2019,3
670571027,2,2019-4,Australia,Disneyland_HongKong,2019,4
670570869,5,2019-3,India,Disneyland_HongKong,2019,3
670443403,5,2019-4,United States,Disneyland_HongKong,2019,4
670435886,5,2019-4,Canada,Disneyland_HongKong,2019,4
670376905,4,2019-4,Australia,Disneyland_HongKong,2019,4
670324965,5,2019-4,Philippines,Disneyland_HongKong,2019,4
670274554,5,2018-9,Australia,Disneyland_HongKong,2018,9
670205135,3,2019-1,United Kingdom,Disneyland_HongKong,2019,1
670199487,4,2019-4,Myanmar (Burma),Disneyland_HongKong,2019,4
670129921,3,2019-4,United Kingdom,Disneyland_HongKong,2019,4
670099231,4,2019-4,Australia,Disneyland_HongKong,2019,4
670033848,5,2018-11,Hong Kong,Disneyland_HongKong,2018,11
670030877,5,2019-4,United Kingdom,Disneyland_HongKong,2019,4
670022335,3,2019-4,United States,Disneyland_HongKong,2019,4
670007081,3,2019-4,United States,Disneyland_HongKong,2019,4
669996858,3,2019-4,Singapore,Disneyland_HongKong,2019,4
669783708,5,2019-4,Australia,Disneyland_HongKong,2019,4
669548161,3,2019-4,Hong Kong,Disneyland_HongKong,2019,4
669528186,3,2019-4,Australia,Disneyland_HongKong,2019,4
669403596,5,2018-12,Philippines,Disneyland_HongKong,2018,12
669353396,5,2019-4,United Kingdom,Disneyland_HongKong,2019,4
669186152,3,2019-4,Australia,Disneyland_HongKong,2019,4
669093045,5,2019-4,Australia,Disneyland_HongKong,2019,4
669050447,4,2019-4,Australia,Disneyland_HongKong,2019,4
668819140,5,2019-4,Australia,Disneyland_HongKong,2019,4
668798543,5,2019-4,China,Disneyland_HongKong,2019,4
668777351,4,2018-12,Australia,Disneyland_HongKong,2018,12
668611003,4,2019-4,Australia,Disneyland_HongKong,2019,4
668374644,4,2019-4,United Kingdom,Disneyland_HongKong,2019,4
668242919,4,2019-4,Australia,Disneyland_HongKong,2019,4
668209978,5,2018-9,Australia,Disneyland_HongKong,2018,9
668111738,5,2018-6,Hong Kong,Disneyland_HongKong,2018,6
667962395,3,2019-4,United States,Disneyland_HongKong,2019,4
667949538,5,2019-4,Australia,Disneyland_HongKong,2019,4
667897767,4,2019-3,Philippines,Disneyland_HongKong,2019,3
667633252,4,2019-2,United States,Disneyland_HongKong,2019,2
667600609,4,2018-10,United Kingdom,Disneyland_HongKong,2018,10
667509247,4,2019-4,United States,Disneyland_HongKong,2019,4
667288224,5,2019-3,Australia,Disneyland_HongKong,2019,3
667095433,5,2019-4,United Kingdom,Disneyland_HongKong,2019,4
667093819,4,2019-4,Australia,Disneyland_HongKong,2019,4
667079818,5,2019-4,Australia,Disneyland_HongKong,2019,4
667072981,3,2019-3,Australia,Disneyland_HongKong,2019,3
667023629,5,2019-4,United States,Disneyland_HongKong,2019,4
666934099,5,2019-4,Singapore,Disneyland_HongKong,2019,4
666902517,4,2019-4,Indonesia,Disneyland_HongKong,2019,4
